Plot,Date,ALHU,AMCR,AMRO,ANHU,BGGN,BHGR,BLPH,BRCR,BTPI,BUSH,CALT,CASJ,CBCH,CEDW,CORA,DEJU,DOWO,FOSP,GCKI,GCSP,GHOW,HAWO,HETH,HOFI,HOOR,HOWR,HUVI,LAZB,LEGO,LISP,MODO,NAWA,NOFL,NUWO,NWWA,OCWA,OSFL,PAWR,PISI,PSFL,PUFI,PYNU,RBNU,RBSA,RCKI,RECR,RSHA,RTHA,RU/ALHU,RUHU,SOSP,SPTO,STJA,SWTH,TOWA,VATH,WAVI,WCSP,WEFL,WETA,WIWA,WWPE,YEWA,YRWA
2. Fairy Gates,11/23/2023,,,,2,,,,1,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,1,,,,2,,,1,,,,,,1,,,,,,,,,,,,,
2. Fairy Gates,12/3/2023,,,,2,,,,1,,,,,2,,,1,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,4,,1,,,,,,,,,,,
3. East Ridge,1/19/2023,,,1,2,,,,1,,,,,1,,,,,,,,,,1,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
3. East Ridge,1/23/2023,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. East Ridge,2/1/2023,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2
3. East Ridge,2/16/2023,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. East Ridge,3/5/2023,1,,,2,,,,,,,,,,,,2,1,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,
3. East Ridge,3/26/2023,1,,,1,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
3. East Ridge,4/6/2023,1,,,1,,,,,,,,,2,,,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,1,,,1
3. East Ridge,4/23/2023,1,,1,1,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,1,,,
3. East Ridge,7/9/2023,1,,,,,,,,,,,,,,,3,,,,,,,,6,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,1,,,
3. East Ridge,7/23/2023,,,,,,,,,,,,,,,,1,0,,,,,,,1,,,,,2,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,
3. East Ridge,08/06/2023,,,,3,,,2,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,
3. East Ridge,8/27/2023,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,
3. East Ridge,9/10/2023,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,
3. East Ridge,9/24/2023,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
3. East Ridge,10/11/2023,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,1,1,,,,,,,,
3. East Ridge,10/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
3. East Ridge,11/5/2023,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1
3. East Ridge,11/23/2023,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
3. East Ridge,12/3/2023,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
4. Mystery,1/19/2023,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
4. Mystery,1/23/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1
4. Mystery,2/1/2023,,,,1,,,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
4. Mystery,2/16/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
